Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,631,12,T:System.Windows.Forms.DialogResult,,,,,"if (openFileDialog.ShowDialog() == DialogResult.OK)              {                  try                  {                      creature = XmlHelper.LoadFromFile(openFileDialog.FileName);                      currentFilePath = openFileDialog.FileName;                      LoadCreatureToForm();                      //MessageBox.Show(""File loaded successfully!"", ""Success"", MessageBoxButtons.OK, MessageBoxIcon.Information);                          txtSplash.Visible = false;                      tabControl.Visible = true;                  }                  catch (Exception ex)                  {                      MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);                  }              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,631,12,T:System.Windows.Forms.DialogResult,,,,,"if (openFileDialog.ShowDialog() == DialogResult.OK)              {                  try                  {                      creature = XmlHelper.LoadFromFile(openFileDialog.FileName);                      currentFilePath = openFileDialog.FileName;                      LoadCreatureToForm();                      //MessageBox.Show(""File loaded successfully!"", ""Success"", MessageBoxButtons.OK, MessageBoxIcon.Information);                          txtSplash.Visible = false;                      tabControl.Visible = true;                  }                  catch (Exception ex)                  {                      MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);                  }              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,631,12,F:System.Windows.Forms.DialogResult.OK,,,,,"if (openFileDialog.ShowDialog() == DialogResult.OK)              {                  try                  {                      creature = XmlHelper.LoadFromFile(openFileDialog.FileName);                      currentFilePath = openFileDialog.FileName;                      LoadCreatureToForm();                      //MessageBox.Show(""File loaded successfully!"", ""Success"", MessageBoxButtons.OK, MessageBoxIcon.Information);                          txtSplash.Visible = false;                      tabControl.Visible = true;                  }                  catch (Exception ex)                  {                      MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);                  }              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,631,12,T:System.Windows.Forms.DialogResult,,,,,"if (openFileDialog.ShowDialog() == DialogResult.OK)              {                  try                  {                      creature = XmlHelper.LoadFromFile(openFileDialog.FileName);                      currentFilePath = openFileDialog.FileName;                      LoadCreatureToForm();                      //MessageBox.Show(""File loaded successfully!"", ""Success"", MessageBoxButtons.OK, MessageBoxIcon.Information);                          txtSplash.Visible = false;                      tabControl.Visible = true;                  }                  catch (Exception ex)                  {                      MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);                  }              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,631,12,M:System.Windows.Forms.CommonDialog.ShowDialog,,,,,"if (openFileDialog.ShowDialog() == DialogResult.OK)              {                  try                  {                      creature = XmlHelper.LoadFromFile(openFileDialog.FileName);                      currentFilePath = openFileDialog.FileName;                      LoadCreatureToForm();                      //MessageBox.Show(""File loaded successfully!"", ""Success"", MessageBoxButtons.OK, MessageBoxIcon.Information);                          txtSplash.Visible = false;                      tabControl.Visible = true;                  }                  catch (Exception ex)                  {                      MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);                  }              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,625,12,P:System.Windows.Forms.FileDialog.Title,,,,,"OpenFileDialog openFileDialog = new OpenFileDialog              {                  Filter = ""XML Files (*.xml)|*.xml|Creature Files (*.creature.xml)|*.creature.xml|All Files (*.*)|*.*"",                  Title = ""Open Creature File""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,625,12,P:System.Windows.Forms.FileDialog.Filter,,,,,"OpenFileDialog openFileDialog = new OpenFileDialog              {                  Filter = ""XML Files (*.xml)|*.xml|Creature Files (*.creature.xml)|*.creature.xml|All Files (*.*)|*.*"",                  Title = ""Open Creature File""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,625,12,T:System.Windows.Forms.OpenFileDialog,,,,,"OpenFileDialog openFileDialog = new OpenFileDialog              {                  Filter = ""XML Files (*.xml)|*.xml|Creature Files (*.creature.xml)|*.creature.xml|All Files (*.*)|*.*"",                  Title = ""Open Creature File""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,625,12,M:System.Windows.Forms.OpenFileDialog.#ctor,,,,,"OpenFileDialog openFileDialog = new OpenFileDialog              {                  Filter = ""XML Files (*.xml)|*.xml|Creature Files (*.creature.xml)|*.creature.xml|All Files (*.*)|*.*"",                  Title = ""Open Creature File""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,620,12,T:System.Windows.Forms.TabControl,,,,,tabControl.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,620,12,P:System.Windows.Forms.Control.Visible,,,,,tabControl.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,619,12,T:System.Windows.Forms.TextBox,,,,,txtSplash.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,619,12,P:System.Windows.Forms.Control.Visible,,,,,txtSplash.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,611,16,T:System.Windows.Forms.DialogResult,,,,,if (result != DialogResult.Yes)                      return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,611,16,T:System.Windows.Forms.DialogResult,,,,,if (result != DialogResult.Yes)                      return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,611,16,F:System.Windows.Forms.DialogResult.Yes,,,,,if (result != DialogResult.Yes)                      return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,605,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"DialogResult result = MessageBox.Show(                      ""Create a new creature? Unsaved changes will be lost."",                      ""Confirm"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,605,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"DialogResult result = MessageBox.Show(                      ""Create a new creature? Unsaved changes will be lost."",                      ""Confirm"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
